# RISC-V Stack console ABI v1 — LOCKED CSR address map (v0.24.0).
# Generated by check_abi.py. Every entry's address is frozen: a
# game .bin compiles these offsets in statically, so moving one
# breaks every existing binary. New CSRs may only be APPENDED.
# name  offset(from CSR_BASE)
CSR_CTRL_RESET_ADDR 0x0
CSR_CTRL_SCRATCH_ADDR 0x4
CSR_CTRL_BUS_ERRORS_ADDR 0x8
CSR_DIAG_OUT_ADDR 0x800
CSR_MAIN_PALETTE_ADDR 0x1800
CSR_MAIN_VBLANK_ADDR 0x1804
CSR_MAIN_VFB_UNDERFLOW_ADDR 0x1808
CSR_MAIN_TB_CYCLES_ADDR 0x180c
CSR_MAIN_TB_CYCLES_HI_ADDR 0x1810
CSR_MAIN_TB_HZ_ADDR 0x1814
CSR_MAIN_AUDIO_SAMPLE_ADDR 0x1818
CSR_MAIN_AUDIO_LEVEL_ADDR 0x181c
CSR_MAIN_PAK_DST_ADDR 0x1820
CSR_MAIN_PAK_REQ_ADDR 0x1824
CSR_MAIN_PAK_WREQ_ADDR 0x1828
CSR_MAIN_PAK_OFREQ_ADDR 0x182c
CSR_MAIN_PAK_GFREQ_ADDR 0x1830
CSR_MAIN_SAVE_SZSET_ADDR 0x1834
CSR_MAIN_SAVE_DTSIZE_ADDR 0x1838
CSR_MAIN_PAK_ID_ADDR 0x183c
CSR_MAIN_PAK_DTADDR_ADDR 0x1840
CSR_MAIN_PAK_OFFSET_ADDR 0x1844
CSR_MAIN_PAK_LENGTH_ADDR 0x1848
CSR_MAIN_PAK_BUSY_ADDR 0x184c
CSR_MAIN_PAK_ERR_ADDR 0x1850
CSR_MAIN_PAK_SIZE_ADDR 0x1854
CSR_MAIN_BLIT_SRC_ADDR 0x1858
CSR_MAIN_BLIT_DST_ADDR 0x185c
CSR_MAIN_BLIT_SSTRIDE_ADDR 0x1860
CSR_MAIN_BLIT_DSTRIDE_ADDR 0x1864
CSR_MAIN_BLIT_W_ADDR 0x1868
CSR_MAIN_BLIT_H_ADDR 0x186c
CSR_MAIN_BLIT_KICK_ADDR 0x1870
CSR_MAIN_BLIT_BUSY_ADDR 0x1874
CSR_MAIN_BLIT_FLAGS_ADDR 0x1878
CSR_MAIN_CONT1_ADDR 0x187c
CSR_MAIN_CONT2_ADDR 0x1880
CSR_MAIN_JOY1_ADDR 0x1884
CSR_MAIN_JOY2_ADDR 0x1888
CSR_MAIN_OPL_CMD_ADDR 0x188c
CSR_MAIN_OPL_DBG_ADDR 0x1890
CSR_MAIN_HWFEAT_ADDR 0x1894
CSR_MAIN_EXIT_ADDR 0x1898
CSR_MAIN_BOOT_SKIP_ADDR 0x189c
CSR_MAIN_SAVE_ADR_ADDR 0x18a0
CSR_MAIN_SAVE_WDAT_ADDR 0x18a4
CSR_MAIN_SAVE_WR_ADDR 0x18a8
CSR_MAIN_SAVE_RD_ADDR 0x18ac
CSR_MAIN_SAVE_RDAT_ADDR 0x18b0
CSR_MAIN_SAVE_ACK_ADDR 0x18b4
CSR_MAIN_ABI_VERSION_ADDR 0x18b8
CSR_SDRAM_DFII_CONTROL_ADDR 0x2000
CSR_SDRAM_DFII_PI0_COMMAND_ADDR 0x2004
CSR_SDRAM_DFII_PI0_COMMAND_ISSUE_ADDR 0x2008
CSR_SDRAM_DFII_PI0_ADDRESS_ADDR 0x200c
CSR_SDRAM_DFII_PI0_BADDRESS_ADDR 0x2010
CSR_SDRAM_DFII_PI0_WRDATA_ADDR 0x2014
CSR_SDRAM_DFII_PI0_RDDATA_ADDR 0x2018
CSR_TIMER0_LOAD_ADDR 0x2800
CSR_TIMER0_RELOAD_ADDR 0x2804
CSR_TIMER0_EN_ADDR 0x2808
CSR_TIMER0_UPDATE_VALUE_ADDR 0x280c
CSR_TIMER0_VALUE_ADDR 0x2810
CSR_TIMER0_EV_STATUS_ADDR 0x2814
CSR_TIMER0_EV_PENDING_ADDR 0x2818
CSR_TIMER0_EV_ENABLE_ADDR 0x281c
CSR_TIMER0_UPTIME_LATCH_ADDR 0x2820
CSR_TIMER0_UPTIME_CYCLES_ADDR 0x2824
CSR_UART_RXTX_ADDR 0x3000
CSR_UART_TXFULL_ADDR 0x3004
CSR_UART_RXEMPTY_ADDR 0x3008
CSR_UART_EV_STATUS_ADDR 0x300c
CSR_UART_EV_PENDING_ADDR 0x3010
CSR_UART_EV_ENABLE_ADDR 0x3014
CSR_UART_TXEMPTY_ADDR 0x3018
CSR_UART_RXFULL_ADDR 0x301c
CSR_VIDEO_FRAMEBUFFER_DMA_BASE_ADDR 0x3800
CSR_VIDEO_FRAMEBUFFER_DMA_LENGTH_ADDR 0x3804
CSR_VIDEO_FRAMEBUFFER_DMA_ENABLE_ADDR 0x3808
CSR_VIDEO_FRAMEBUFFER_DMA_DONE_ADDR 0x380c
